"X","country","year","gdp","pop","transport.emissions","lgdp","lpop","ltransport.emissions","const","L1.ltransport.emissions","L1.lgdp","L1.lpop"
1,"Austria",1969,137470070238.14,NA,NA,25.6466720593639,NA,NA,1,NA,NA,NA
2,"Austria",1970,146159749334.712,NA,7679.7729,25.7079660340086,NA,8.94634525539201,1,NA,25.6466720593639,NA
3,"Austria",1971,153635774723.2,7500482,8464.73022,25.7578505388952,15.8304778431082,9.04366342400622,1,8.94634525539201,25.7079660340086,NA
4,"Austria",1972,163173269957.102,7544201,9479.287,25.8180784790343,15.8362897466308,9.15686438145012,1,9.04366342400622,25.7578505388952,15.8304778431082
5,"Austria",1973,171153153430.917,7586115,10294.89017,25.8658246267071,15.8418301606204,9.23940295111941,1,9.15686438145012,25.8180784790343,15.8362897466308
6,"Austria",1974,177900247172.082,7599038,9561.2018,25.904488821005,15.8435322182974,9.16546870944152,1,9.23940295111941,25.8658246267071,15.8418301606204
7,"Austria",1975,177253160456.394,7578903,9808.1968,25.9008448327012,15.84087902419,9.19097372322754,1,9.16546870944152,25.904488821005,15.8435322182974
8,"Austria",1976,185368599583.233,7565525,10043.95558,25.9456121099479,15.8391123013426,9.21472629772687,1,9.19097372322754,25.9008448327012,15.84087902419
9,"Austria",1977,194785288854.208,7568430,10505.12202,25.9951637060742,15.8394962062816,9.25961822863287,1,9.21472629772687,25.9456121099479,15.8391123013426
10,"Austria",1978,194374966805.269,7562305,11298.60257,25.9930549491031,15.8386865958648,9.33243433068143,1,9.25961822863287,25.9951637060742,15.8394962062816
11,"Austria",1979,204787050325.414,7549425,11937.8148,26.0452364972797,15.8369819593846,9.38746635512191,1,9.33243433068143,25.9930549491031,15.8386865958648
12,"Austria",1980,208332908241.25,7549433,11150.0792,26.0624031575706,15.8369830190674,9.31920188000205,1,9.38746635512191,26.0452364972797,15.8369819593846
13,"Austria",1981,208032295395.5,7568710,10509.08161,26.0609591709197,15.8395332013811,9.25999507756006,1,9.31920188000205,26.0624031575706,15.8369830190674
14,"Austria",1982,212216354005.19,7574140,10427.9745,26.0808721289841,15.8402503715614,9.25224732971093,1,9.25999507756006,26.0609591709197,15.8395332013811
15,"Austria",1983,218525732918.778,7561910,10779.4019,26.1101696153429,15.8386343617489,9.28539236054902,1,9.25224732971093,26.0808721289841,15.8402503715614
16,"Austria",1984,218637782550.416,7561434,10509.3945,26.1106822365024,15.8385714127079,9.26002485041309,1,9.28539236054902,26.1101696153429,15.8386343617489
17,"Austria",1985,224100837798.389,7564985,10696.718,26.1353619562487,15.839040922387,9.27769224442708,1,9.26002485041309,26.1106822365024,15.8385714127079
18,"Austria",1986,229258278296.628,7569794,11074.3597,26.1581150577762,15.8396764123617,9.31238777834357,1,9.27769224442708,26.1353619562487,15.839040922387
19,"Austria",1987,232369698320.641,7574586,11260.0081,26.1715954675395,15.8403092544008,9.32901262105399,1,9.31238777834357,26.1581150577762,15.8396764123617
20,"Austria",1988,240028325237.241,7585317,12053.0071,26.2040227751462,15.841724962904,9.39706945965313,1,9.32901262105399,26.1715954675395,15.8403092544008
21,"Austria",1989,249358405698.537,7619567,12532.3761,26.2421570788117,15.8462301019013,9.43607066279316,1,9.39706945965313,26.2040227751462,15.841724962904
22,"Austria",1990,260194628169.57,7677850,13142.8491,26.2846957578062,15.8538501180145,9.48363309501915,1,9.43607066279316,26.2421570788117,15.8462301019013
23,"Austria",1991,269149557913.925,7754891,14578.5997026,26.3185330394253,15.8638342990459,9.58730995860461,1,9.48363309501915,26.2846957578062,15.8538501180145
24,"Austria",1992,274784270415.639,7840709,14596.906554,26.3392521555386,15.8748398219112,9.5885649053837,1,9.58730995860461,26.3185330394253,15.8638342990459
25,"Austria",1993,276231859963.627,7905633,14747.329759,26.3445064223323,15.8830861013211,9.59881731209133,1,9.5885649053837,26.3392521555386,15.8748398219112
26,"Austria",1994,282867277308.386,7936118,14801.102939,26.3682436398059,15.8869347967879,9.60245697988092,1,9.59881731209133,26.3445064223323,15.8830861013211
27,"Austria",1995,290414130050.787,7948278,15024.960918,26.394573775913,15.8884658593949,9.61746815826858,1,9.60245697988092,26.3682436398059,15.8869347967879
28,"Austria",1996,297237508346.442,7959017,16639.813512,26.4177973475685,15.8898160577324,9.71955350710086,1,9.61746815826858,26.394573775913,15.8884658593949
29,"Austria",1997,303460471006.619,7968041,15702.96802,26.4385171951632,15.8909492238157,9.66160501932936,1,9.71955350710086,26.4177973475685,15.8898160577324
30,"Austria",1998,314328682652.371,7976789,17664.76551,26.4737050354228,15.8920465074967,9.77932728543398,1,9.66160501932936,26.4385171951632,15.8909492238157
31,"Austria",1999,325507251810.694,7992324,17087.28106,26.5086505773352,15.8939921390293,9.74608966807521,1,9.77932728543398,26.4737050354228,15.8920465074967
32,"Austria",2000,336495472200.435,8011566,17953.38243,26.5418505303699,15.8963968055538,9.79553381237625,1,9.74608966807521,26.5086505773352,15.8939921390293
33,"Austria",2001,340759435782.358,8042293,19290.556951,26.5544425983571,15.9002247994986,9.8673709780076,1,9.79553381237625,26.5418505303699,15.8963968055538
34,"Austria",2002,346387261608.152,8081957,21397.08063,26.57082323931,15.9051446041412,9.97100977254513,1,9.8673709780076,26.5544425983571,15.9002247994986
35,"Austria",2003,349648396949.29,8121423,22880.52055,26.5801939063562,15.9100159430894,10.0380411965461,1,9.97100977254513,26.57082323931,15.9051446041412
36,"Austria",2004,359211700961.583,8171966,23195.5646796,26.607177747904,15.9162200743628,10.0517163617742,1,10.0380411965461,26.5801939063562,15.9100159430894
37,"Austria",2005,367272646184.907,8227829,23889.3844657,26.6293703143195,15.9230327468458,10.0811894746342,1,10.0517163617742,26.607177747904,15.9162200743628
38,"Austria",2006,379958397036.836,8268641,22523.5549344,26.6633276021913,15.9279807245968,10.0223169265629,1,10.0811894746342,26.6293703143195,15.9230327468458
39,"Austria",2007,394121024465.176,8295487,22789.679409,26.699923867771,15.9312221899496,10.0340630549622,1,10.0223169265629,26.6633276021913,15.9279807245968
40,"Austria",2008,399876861217.528,8321496,21547.98750015,26.7144224897036,15.9343526043262,9.97803770370698,1,10.0340630549622,26.699923867771,15.9312221899496
41,"Austria",2009,384823184161.595,8343323,20899.92846404,26.6760498038232,15.9369721362253,9.94750101517384,1,9.97803770370698,26.7144224897036,15.9343526043262
42,"Austria",2010,391892746544.69,8363404,21626.83740726,26.6942540335466,15.9393760792203,9.98169029500032,1,9.94750101517384,26.6760498038232,15.9369721362253
43,"Austria",2011,403346977095.66,8391643,20975.64769096,26.7230630138069,15.9427468876386,9.95111741004626,1,9.98169029500032,26.6942540335466,15.9393760792203
44,"Austria",2012,406091533760.531,8429991,20949.6201212,26.7298444237497,15.9473062623618,9.94987579254627,1,9.95111741004626,26.7230630138069,15.9427468876386
45,"Austria",2013,406195106237.474,8479823,21940.1905727,26.7300994383527,15.9532001349087,9.99607541987627,1,9.94987579254627,26.7298444237497,15.9473062623618
46,"Austria",2014,408881164188.391,8546356,21499.8089766,26.7366903986641,15.961015551234,9.97579932926698,1,9.99607541987627,26.7300994383527,15.9532001349087
47,"Austria",2015,413029270083.549,8642699,21907.5900566,26.7467842992692,15.9722254762577,9.99458843368728,1,9.97579932926698,26.7366903986641,15.961015551234
48,"Austria",2016,421631052473.627,8736668,22706.3836075746,26.7673964853361,15.983039439245,10.0304013801283,1,9.99458843368728,26.7467842992692,15.9722254762577
49,"Austria",2017,432072509042.657,8797566,23120.2171585226,26.7918592561123,15.989985650281,10.0484627154119,1,10.0304013801283,26.7673964853361,15.983039439245
50,"Austria",2018,442527642505.434,8840521,23653.9456101319,26.8157687683821,15.9948563695287,10.0712852134143,1,10.0484627154119,26.7918592561123,15.989985650281
51,"Belgium",1969,181126144478.07,NA,NA,25.9224595562868,NA,NA,1,NA,NA,NA
52,"Belgium",1970,191254395231.942,NA,9987.175,25.9768702909939,NA,9.20905704886923,1,NA,25.9224595562868,NA
53,"Belgium",1971,198877465127.775,9673162,10439.53837,26.0159547188903,16.0848658046725,9.25335564302606,1,9.20905704886923,25.9768702909939,NA
54,"Belgium",1972,209409229017.889,9711115,11395.53742,26.0675562080405,16.0887816637471,9.34097710335835,1,9.25335564302606,26.0159547188903,16.0848658046725
55,"Belgium",1973,222773102104.405,9741720,11825.9514,26.1294196110706,16.0919282514041,9.37805166678329,1,9.34097710335835,26.0675562080405,16.0887816637471
56,"Belgium",1974,232943269121.097,9772419,10958.1642,26.174060780699,16.09507458805,9.30184004647231,1,9.37805166678329,26.1294196110706,16.0919282514041
57,"Belgium",1975,228363740642.103,9800700,12117.006,26.1542055483694,16.0979643696613,9.40236519940347,1,9.30184004647231,26.174060780699,16.09507458805
58,"Belgium",1976,241272562494.73,9818227,12784.5046,26.2091930960867,16.0997511141314,9.45598913844111,1,9.40236519940347,26.1542055483694,16.0979643696613
59,"Belgium",1977,242783302275.89,9830358,13572.9632,26.2154351222508,16.1009859105853,9.51583509302928,1,9.45598913844111,26.2091930960867,16.0997511141314
60,"Belgium",1978,249682952635.586,9839534,14039.5971,26.2434577605182,16.1019189101834,9.54963698058685,1,9.51583509302928,26.2154351222508,16.1009859105853
61,"Belgium",1979,255528212921.113,9848382,15051.7515,26.2665986628859,16.1028177356961,9.61924964214308,1,9.54963698058685,26.2434577605182,16.1019189101834
62,"Belgium",1980,266884024750.166,9859242,14753.172,26.3100800367516,16.1039198473559,9.5992133894953,1,9.61924964214308,26.2665986628859,16.1028177356961
63,"Belgium",1981,266138661424.902,9858982,14289.4822,26.3072832934593,16.1038934758125,9.56727903513794,1,9.5992133894953,26.3100800367516,16.1039198473559
64,"Belgium",1982,267722151648.701,9856303,14503.7326,26.3132155320833,16.1036217069777,9.5821613159713,1,9.56727903513794,26.3072832934593,16.1038934758125
65,"Belgium",1983,268557023808.128,9855520,14618.1544,26.3163291075197,16.1035422622708,9.59001948730498,1,9.5821613159713,26.3132155320833,16.1036217069777
66,"Belgium",1984,275180667564.013,9855372,14922.8769,26.3406936918608,16.1035272451929,9.61065067688585,1,9.59001948730498,26.3163291075197,16.1035422622708
67,"Belgium",1985,279726082161.776,9858308,15371.0178,26.3570766832958,16.1038251094194,9.64023905424911,1,9.61065067688585,26.3406936918608,16.1035272451929
68,"Belgium",1986,284824823336.936,9861823,16920.6346,26.3751401732791,16.1041815979272,9.73628913836705,1,9.64023905424911,26.3570766832958,16.1038251094194
69,"Belgium",1987,291394761866.192,9870234,17645.537,26.3979447547951,16.1050341193353,9.77823816919686,1,9.73628913836705,26.3751401732791,16.1041815979272
70,"Belgium",1988,305157945286.058,9901664,19254.931,26.4440953329109,16.1082133817889,9.86552246275778,1,9.77823816919686,26.3979447547951,16.1050341193353
71,"Belgium",1989,315744383425.441,9937697,19841.338,26.4781988099759,16.1118458616476,9.89552281808105,1,9.86552246275778,26.4440953329109,16.1082133817889
72,"Belgium",1990,325650555483.959,9967379,19459.725,26.5090907277072,16.1148282187107,9.87610222408824,1,9.89552281808105,26.4781988099759,16.1118458616476
73,"Belgium",1991,331619972056.74,10004486,19647.11915,26.5272554877567,16.1185441503674,9.88568599840689,1,9.87610222408824,26.5090907277072,16.1148282187107
74,"Belgium",1992,336695929196.36,10045158,20377.99375,26.5424460727415,16.122601285326,9.92221085983088,1,9.88568599840689,26.5272554877567,16.1185441503674
75,"Belgium",1993,333457341656.811,10084475,20888.051,26.5327807830467,16.1265076705043,9.94693255196924,1,9.92221085983088,26.5424460727415,16.122601285326
76,"Belgium",1994,344217914924.963,10115603,21367.9362,26.5645407673792,16.1295896412411,9.96964676901222,1,9.94693255196924,26.5327807830467,16.1265076705043
77,"Belgium",1995,352426676458.87,10136811,21439.1878,26.5881084275159,16.1316840096213,9.97297573200449,1,9.96964676901222,26.5645407673792,16.1295896412411
78,"Belgium",1996,357083919174.657,10156637,21855.46063,26.6012366588181,16.1336379413837,9.99220608371681,1,9.97297573200449,26.5881084275159,16.1316840096213
79,"Belgium",1997,370630414925.168,10181245,22127.59719,26.6384712168451,16.1360578602335,10.0045808501054,1,9.99220608371681,26.6012366588181,16.1336379413837
80,"Belgium",1998,377901593439.986,10203008,22806.60175,26.6578996638582,16.1381931367402,10.0348053234695,1,10.0045808501054,26.6384712168451,16.1360578602335
81,"Belgium",1999,391289642724.156,10226419,23121.79212,26.6927138969245,16.1404850277705,10.0485308336231,1,10.0348053234695,26.6578996638582,16.1381931367402
82,"Belgium",2000,405832615318.929,10251250,23493.17575,26.7292066339988,16.1429102073328,10.0644652643428,1,10.0485308336231,26.6927138969245,16.1404850277705
83,"Belgium",2001,410295216338.301,10286570,24370.61957,26.74014277739,16.146349718909,10.1011335697676,1,10.0644652643428,26.7292066339988,16.1429102073328
84,"Belgium",2002,417298500905.365,10332785,24411.92838,26.7570676321707,16.1508324078572,10.102827159857,1,10.1011335697676,26.74014277739,16.146349718909
85,"Belgium",2003,421629863437.465,10376133,24964.94253,26.7673936652453,16.1550188229379,10.1252278209092,1,10.102827159857,26.7570676321707,16.1508324078572
86,"Belgium",2004,436687079147.938,10421137,25919.27461,26.8024827095212,16.1593467054192,10.1627421643493,1,10.1252278209092,26.7673936652453,16.1550188229379
87,"Belgium",2005,446825806298.355,10478617,25215.67595,26.8254346605271,16.1648472625001,10.1352211416074,1,10.1627421643493,26.8024827095212,16.1593467054192
88,"Belgium",2006,458230381597.117,10547958,25848.51885,26.8506379111778,16.1714428446499,10.1600085804226,1,10.1352211416074,26.8254346605271,16.1648472625001
89,"Belgium",2007,475079138083.189,10625700,26659.4414,26.8867472335947,16.1787861529575,10.190898640775,1,10.1600085804226,26.8506379111778,16.1714428446499
90,"Belgium",2008,477202345354.765,10709973,26744.25437,26.8912064419837,16.1866859214124,10.194074939347,1,10.190898640775,26.8867472335947,16.1787861529575
91,"Belgium",2009,467559394365.929,10796493,25994.20908,26.8707922243774,16.1947319171385,10.1656290645038,1,10.194074939347,26.8912064419837,16.1866859214124
92,"Belgium",2010,480951629493.033,10895586,25102.5644199,26.8990325396109,16.2038683110549,10.1307252880246,1,10.1656290645038,26.8707922243774,16.1947319171385
93,"Belgium",2011,489101342571.806,11038264,24756.4732399,26.9158355494722,16.2168783400719,10.1168422788464,1,10.1307252880246,26.8990325396109,16.2038683110549
94,"Belgium",2012,492716925962.252,11106932,23997.1094304,26.9232006593917,16.2230799758653,10.0856886616766,1,10.1168422788464,26.9158355494722,16.2168783400719
95,"Belgium",2013,494979620293.941,11159407,23525.95534,26.9277824275442,16.2277933773049,10.0658595731933,1,10.0856886616766,26.9232006593917,16.2230799758653
96,"Belgium",2014,502792988581.692,11209057,23844.33963,26.9434443688192,16.2322326701897,10.0793021360733,1,10.0658595731933,26.9277824275442,16.2277933773049
97,"Belgium",2015,513013709008.398,11274196,25483.487054,26.9635684049734,16.2380271326065,10.145785954875,1,10.0793021360733,26.9434443688192,16.2322326701897
98,"Belgium",2016,520597594612.964,11331422,25183.7697610028,26.9782432090831,16.243090132631,10.1339550089026,1,10.145785954875,26.9635684049734,16.2380271326065
99,"Belgium",2017,530509055114.69,11375158,25214.192418726,26.997102863874,16.2469424128147,10.1351623061861,1,10.1339550089026,26.9782432090831,16.243090132631
100,"Belgium",2018,538401092626.989,11427054,25462.6072132162,27.0118696446712,16.2514942597675,10.1449662711582,1,10.1351623061861,26.997102863874,16.2469424128147
101,"Bulgaria",1969,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
102,"Bulgaria",1970,NA,NA,4122.5187,NA,NA,8.32421959050594,1,NA,NA,NA
103,"Bulgaria",1971,NA,8536395,4122.5187,NA,15.9598493454948,8.32421959050594,1,8.32421959050594,NA,NA
104,"Bulgaria",1972,NA,8576200,4101.1735,NA,15.9645014829163,8.3190284312516,1,8.32421959050594,NA,15.9598493454948
105,"Bulgaria",1973,NA,8620967,4040.1936,NA,15.9697078173225,8.30404789059911,1,8.3190284312516,NA,15.9645014829163
106,"Bulgaria",1974,NA,8678745,3872.4828,NA,15.9763874909296,8.26165113070595,1,8.30404789059911,NA,15.9697078173225
107,"Bulgaria",1975,NA,8720742,3902.9717,NA,15.9812148840082,8.26949351632163,1,8.26165113070595,NA,15.9763874909296
108,"Bulgaria",1976,NA,8758599,3902.9717,NA,15.9855465186153,8.26949351632163,1,8.26949351632163,NA,15.9812148840082
109,"Bulgaria",1977,NA,8804183,3963.9606,NA,15.9907375074188,8.28499895594539,1,8.26949351632163,NA,15.9855465186153
110,"Bulgaria",1978,NA,8814032,4024.9386,NA,15.9918555549652,8.30026493507792,1,8.28499895594539,NA,15.9907375074188
111,"Bulgaria",1979,NA,8825940,3963.9606,NA,15.993205670692,8.28499895594539,1,8.30026493507792,NA,15.9918555549652
112,"Bulgaria",1980,32356104638.135,8861535,4116.4175,24.2000685460608,15.9972305581395,8.32273852524043,1,8.28499895594539,NA,15.993205670692
113,"Bulgaria",1981,33941606136.9399,8891117,3963.9606,24.2479074184654,16.0005632463913,8.28499895594539,1,8.32273852524043,24.2000685460608,15.9972305581395
114,"Bulgaria",1982,34733995195.2498,8917457,3963.9606,24.2709847329414,16.0035213742243,8.28499895594539,1,8.28499895594539,24.2479074184654,16.0005632463913
115,"Bulgaria",1983,35925477486.1364,8939738,3963.9606,24.3047125600169,16.0060168402326,8.28499895594539,1,8.28499895594539,24.2709847329414,16.0035213742243
116,"Bulgaria",1984,37145666075.1691,8960679,3832.84,24.3381129411479,16.0083565633299,8.25136132174906,1,8.28499895594539,24.3047125600169,16.0060168402326
117,"Bulgaria",1985,38142448011.7645,8960547,3698.6787,24.3645936199505,16.0083418321948,8.21573092674592,1,8.25136132174906,24.3381129411479,16.0083565633299
