final_temp,baseline,model,specification,scenario,vlow,low,midl,med,midh,high,vhigh
1.35450514705883,Contemp,IIS,standard,Hundred,0.3704938860312545,0.42199791390106445,0.6032084786541182,0.7626668649148405,0.9671147628887317,1.2422329520711577,1.4421931556875884
1.44075669934652,Contemp,IIS,standard,Hundred,0.357200326134511,0.40819131556396443,0.5891706194841064,0.7505205887178729,0.9645415484461204,1.2604274502663333,1.4719870475930188
1.49094369281044,Contemp,IIS,standard,Hundred,0.34959344566435396,0.40028130804540124,0.5810930914344705,0.743496644428081,0.9629897531085754,1.270981476266417,1.4894711740959299
1.61894668300656,Contemp,IIS,standard,Hundred,0.33061901326515974,0.3805183992688928,0.5607931370352259,0.7257270963767736,0.9588502434490814,1.2977906026825616,1.534557873593329
1.63705647058816,Contemp,IIS,standard,Hundred,0.3279840673184301,0.37777012003213295,0.5579561411315029,0.7232299125521533,0.9582435178732692,1.3015708806103434,1.5409939140142095
1.65279160130725,Contemp,IIS,standard,Hundred,0.3257046019045097,0.37539182395414167,0.5554981981840253,0.7210635629975622,0.9577121089226572,1.3048529190300169,1.5465975370898974
1.66943627450985,Contemp,IIS,standard,Hundred,0.3233034672966198,0.3728857833697791,0.5529053128595685,0.718775421533431,0.9571456912091829,1.30832209121582,1.552536718710563
1.67930245098057,Contemp,IIS,standard,Hundred,0.3218850855743721,0.37140504237508354,0.5513718354887005,0.7174207840441077,0.9568078627685858,1.3103772011361654,1.5560628394042455
1.69674988562072,Contemp,IIS,standard,Hundred,0.3193857297232162,0.36879508923354287,0.5486663291803849,0.7150282640986896,0.9562066492339107,1.3140091955779298,1.562308764498706
1.7367105228759,Contemp,IIS,standard,Hundred,0.3137042981016451,0.3628588084008872,0.5425001571476638,0.7095631699662682,0.9548113958653626,1.3223167372309783,1.5766636764603106
1.77993259803935,Contemp,IIS,standard,Hundred,0.3076264889155838,0.35650293144274037,0.535878321499019,0.7036749183358287,0.9532736381689052,1.331285105716802,1.5922679038010767
1.80426348039221,Contemp,IIS,standard,Hundred,0.3042359002456189,0.35295470512618526,0.532172468898744,0.7003707223599152,0.9523949046386112,1.3363257796538865,1.6010874786177636
1.80886928104581,Contemp,IIS,standard,Hundred,0.30359656223732506,0.3522854368801431,0.5314727207546753,0.6997460911266086,0.9522275004014411,1.3372793341718379,1.60275989237946
1.81690638888892,Contemp,IIS,standard,Hundred,0.30248282200845367,0.3511194001206103,0.530253007598397,0.6986567582924437,0.951934571405842,1.338942797629455,1.6056804457821103
1.81733524509808,Contemp,IIS,standard,Hundred,0.3024234613470719,0.35105724649900066,0.5301879723552911,0.698598655124382,0.9519189119450564,1.339031541866695,1.605836363592379
1.81761383986924,Contemp,IIS,standard,Hundred,0.3023849029984394,0.3510168736471345,0.5301457265877803,0.6985609112361139,0.9519087376328935,1.3390891912034393,1.6059376556173595
1.83154187908499,Contemp,IIS,standard,Hundred,0.3004609257281251,0.34900204916768307,0.52803631538231,0.6966752064285002,0.9513985084773162,1.3419703595854207,1.6110059164314863
1.83705650326795,Contemp,IIS,standard,Hundred,0.29970115978868717,0.3482062413386061,0.5272025411272868,0.6959292687914732,0.9511956361795688,1.3431106073185695,1.613014945507779
1.83789345540248,Contemp,IIS,standard,Hundred,0.29958594997682664,0.34808555788843454,0.5270760699428211,0.6958160919922607,0.9511648040083363,1.3432836367884604,1.6133199699009608
