final_temp,baseline,model,specification,scenario,vlow,low,midl,med,midh,high,vhigh
1.35450514705883,Mueller,Contemp,Base,Hundred,0.25743355566431436,0.314574332322268,0.5244891897637745,0.7270176137885275,0.9844472381500963,1.555682016049676,1.991527526500209
1.44075669934652,Mueller,Contemp,Base,Hundred,0.2467090861296743,0.30240160359677176,0.5096158787152518,0.7132150194278867,0.9866261968871738,1.5947438620865277,2.0490481234768576
1.49094369281044,Mueller,Contemp,Base,Hundred,0.24058108286421032,0.29543933945061757,0.5010751289253739,0.7052462016118839,0.9877923400476237,1.6177359141245191,2.083891391827147
1.61894668300656,Mueller,Contemp,Base,Hundred,0.22532528360411513,0.27808383509859225,0.47967000009575445,0.6851296380735061,0.9904277745873684,1.6772544335840704,2.177336319448559
1.63705647058816,Mueller,Contemp,Base,Hundred,0.22321026726716833,0.2756750130400658,0.4766854943457811,0.6823076974739473,0.9907613254345481,1.6857767972458706,2.191087768084856
1.65279160130725,Mueller,Contemp,Base,Hundred,0.2213813114941984,0.27359143297602406,0.4741011649562415,0.6798606438028604,0.9910432278327066,1.6932021329281512,2.2031429029014973
1.66943627450985,Mueller,Contemp,Base,Hundred,0.21945546864579152,0.27139691156918816,0.4713763901169662,0.6772770589700027,0.9913334186959407,1.7010773955445893,2.216003001024323
1.67930245098057,Mueller,Contemp,Base,Hundred,0.2183182065138665,0.2701007116515217,0.46976560963784064,0.6757480179572706,0.9915015445080546,1.7057555341820325,2.223678340355158
1.69674988562072,Mueller,Contemp,Base,Hundred,0.21631487197756943,0.2678168971113591,0.46692499361476514,0.6730483955450646,0.9917917802422047,1.7140467156859105,2.2373470958721997
1.7367105228759,Mueller,Contemp,Base,Hundred,0.21176414185245088,0.26262659685955914,0.4604570460962738,0.6668862577341292,0.9924224404835723,1.7331245651946685,2.2691135433292833
1.77993259803935,Mueller,Contemp,Base,Hundred,0.20690092020331835,0.25707603433169995,0.4535208294748244,0.6602539878728849,0.9930511622174852,1.753897686906719,2.3041940267834744
1.80426348039221,Mueller,Contemp,Base,Hundred,0.20419021691035164,0.2539804326969861,0.44964350023931,0.6565354967303311,0.9933806698469791,1.765654625567214,2.3242715668581746
1.80886928104581,Mueller,Contemp,Base,Hundred,0.20367926892200697,0.2533967881765421,0.44891173755074226,0.6558328075874632,0.9934410652634397,1.7678853202971674,2.3280989570018074
1.81690638888892,Mueller,Contemp,Base,Hundred,0.20278933154383288,0.25238012073732513,0.44763649894855084,0.6546075441800111,0.9935449455680776,1.7717817817974484,2.334798128729477
1.81733524509808,Mueller,Contemp,Base,Hundred,0.20274190441476703,0.2523259358252682,0.44756851303688727,0.6545421978349781,0.9935504346353624,1.7719898346775267,2.3351563217813127
1.81761383986924,Mueller,Contemp,Base,Hundred,0.20271109790045805,0.25229073954382397,0.447524351106967,0.6544997491573686,0.9935539975307035,1.772124998148412,2.335389051699528
1.83154187908499,Mueller,Contemp,Base,Hundred,0.20117420289735985,0.25053462668862736,0.44531980523176184,0.6523793792870696,0.9937291810868735,1.778889953653314,2.3470638293469888
1.83705650326795,Mueller,Contemp,Base,Hundred,0.2005674466665278,0.24984120609640614,0.444448722239421,0.651540824799704,0.9937969499166605,1.7815725705729855,2.3517078169334993
1.83789345540248,Mueller,Contemp,Base,Hundred,0.20047544665569897,0.24973605962079334,0.44431660650281274,0.651413606241934,0.993807156191084,1.7819799145392474,2.3524136995377583
1.8472899183006,Mueller,Contemp,Base,Hundred,0.19944413827707963,0.24855727430504812,0.44283493749198627,0.6499862005051231,0.9939203135699638,1.786556862315324,2.360357938017124
1.84913753267965,Mueller,Contemp,Base,Hundred,0.1992416939074221,0.2483258573248803,0.44254394332849145,0.6497057210749735,0.9939422549392828,1.787457620261429,2.361924171681316
1.85800158496729,Mueller,Contemp,Base,Hundred,0.19827200971125958,0.2472172920657448,0.44114945408250406,0.6483609686183271,0.9940461095936128,1.7917827160955628,2.3694573321582943
1.85900071895423,Mueller,Contemp,Base,Hundred,0.19816287081679945,0.24709251098088236,0.44099243413121164,0.6482094813566205,0.9940576694363562,1.7922706089958484,2.3703084285858096
1.85990334967331,Mueller,Contemp,Base,Hundred,0.19806430144364584,0.24697981236263922,0.44085060871823384,0.648072641441649,0.9940680872486416,1.792711443814959,2.371077664658201
1.86171648692819,Mueller,Contemp,Base,Hundred,0.19786638333781298,0.2467535185485161,0.44056580206307816,0.6477978125483527,0.9940889406231419,1.7935971492022411,2.3726238366752455
1.86463863192046,Mueller,Contemp,Base,Hundred,0.1975476351382972,0.2463890556462289,0.44010702250957273,0.6473550104390119,0.994122343431909,1.7950251293507744,2.3751185031299555
1.87386691238947,Mueller,Contemp,Base,Hundred,0.1965428499372557,0.24524003923452126,0.43866003305365603,0.645957642055786,0.9942261654600308,1.7995390726280989,2.3830192825247734
1.87388522875826,Mueller,Contemp,Base,Hundred,0.1965408584067506,0.24523776164130995,0.4386571638653278,0.6459548700922854,0.994226369010868,1.7995480384513174,2.383034998039947
1.87719851307179,Mueller,Contemp,Base,Hundred,0.19618078740508346,0.24482595778560667,0.4381383337423403,0.6454535448113025,0.9942630257421866,1.801170308349652,2.385880023583998
1.87767205882343,Mueller,Contemp,Base,Hundred,0.19612935423345293,0.24476713298909847,0.43806421053087674,0.6453819100728392,0.994268238206121,1.8014022375610543,2.3862870040157222
1.88465944444429,Mueller,Contemp,Base,Hundred,0.195371288474464,0.2439000646158412,0.4369713529148573,0.6443253821019648,0.9943443760554997,1.8048264639139269,2.3923026476852822
