final_temp,baseline,model,specification,scenario,vlow,low,midl,med,midh,high,vhigh
1.35450514705883,Mueller,Adaptation,Base,Hundred,0.3174779526243264,0.3529133166982138,0.5407326907205622,0.7219629167582938,1.0155900735504797,3.651318772427841,6.1283929374719035
1.44075669934652,Mueller,Adaptation,Base,Hundred,0.3082563742233711,0.3444729637442615,0.5313506063960499,0.7132989720403453,1.0284844858635616,3.6494635406415643,5.925408106911396
1.49094369281044,Mueller,Adaptation,Base,Hundred,0.30295700339378234,0.3396049106000476,0.5259283149650573,0.708288969760399,1.0357224798128477,3.6592221105323066,5.837053608279712
1.61894668300656,Mueller,Adaptation,Base,Hundred,0.28966191755659404,0.32733245656001864,0.5122213616889161,0.6956150046838518,1.0533009261760102,3.720213201199651,5.710820341703879
1.63705647058816,Mueller,Adaptation,Base,Hundred,0.2878065833454527,0.325612818302316,0.5102963463827196,0.6938339823141019,1.0556855685137372,3.7330303635916104,5.704459540351733
1.65279160130725,Mueller,Adaptation,Base,Hundred,0.28619969266696366,0.3241220219435566,0.5086266151160138,0.6922889293795036,1.0577369248194648,3.7450097900008696,5.7012470381233165
1.66943627450985,Mueller,Adaptation,Base,Hundred,0.28450514211755157,0.32254844620629713,0.5068632675308756,0.6906570282956452,1.05988601050038,3.758534714168337,5.700190876451501
1.67930245098057,Mueller,Adaptation,Base,Hundred,0.28350322769493,0.32161735174686595,0.5058194455768452,0.6896909087388806,1.0611497702741988,3.766965646740327,5.7007014560336575
1.69674988562072,Mueller,Adaptation,Base,Hundred,0.28173605219741854,0.319973796653365,0.5039761054469747,0.6879845903589429,1.0633661820508973,3.78262926632594,5.703675246843693
1.7367105228759,Mueller,Adaptation,Base,Hundred,0.27771084628704656,0.31622393400533794,0.4997665638739356,0.6840870086802175,1.0683537979738227,3.822135375714404,5.720455193704435
1.77993259803935,Mueller,Adaptation,Base,Hundred,0.273391965361327,0.3121906599992343,0.4952327987943751,0.6798877382743332,1.0736094227704933,3.8705564824575998,5.754228302075932
1.80426348039221,Mueller,Adaptation,Base,Hundred,0.2709766803520043,0.3099305695685279,0.49268946205062714,0.6775313599482797,1.076504384233328,3.900415553520241,5.780382532272066
1.80886928104581,Mueller,Adaptation,Base,Hundred,0.27052076217706217,0.309503576928012,0.4922087291560491,0.6770859095371544,1.0770472412995717,3.906278781296833,5.785912648678696
1.81690638888892,Mueller,Adaptation,Base,Hundred,0.2697261712418939,0.30875911591050703,0.4913703984412359,0.6763090639445744,1.0779905949860604,3.9166709268230475,5.796004245388518
1.81733524509808,Mueller,Adaptation,Base,Hundred,0.26968380744163645,0.30871941468966996,0.4913256850512263,0.6762676284161223,1.0780407914560222,3.9172311933211894,5.796558505403109
1.81761383986924,Mueller,Adaptation,Base,Hundred,0.2696562888614068,0.3086936251124619,0.4912966392740278,0.6762407118521125,1.0780733926041468,3.917595467167894,5.796919421817046
1.83154187908499,Mueller,Adaptation,Base,Hundred,0.26828244553878156,0.30740554947608706,0.48984559216519075,0.674895951369266,1.0796955978307592,3.9361201253461457,5.815822895283365
1.83705650326795,Mueller,Adaptation,Base,Hundred,0.26773952952629004,0.3068962279638186,0.489271645980208,0.6743640007127489,1.0803337416205938,3.943624425706542,5.823773401590479
1.83789345540248,Mueller,Adaptation,Base,Hundred,0.26765718292144713,0.3068189619301136,0.4891845670160726,0.6742832910652228,1.0804303868152312,3.944771764200566,5.8250031472403965
1.8472899183006,Mueller,Adaptation,Base,Hundred,0.26673360946025026,0.305952101520909,0.48820744869977034,0.6733776028137971,1.08151170332676,3.9578051331315347,5.839227361479425
1.84913753267965,Mueller,Adaptation,Base,Hundred,0.2665522097580983,0.3057817826873156,0.4880154309575267,0.6731996133646262,1.0817235176640851,3.9604007496976177,5.842114527731779
1.85800158496729,Mueller,Adaptation,Base,Hundred,0.26568285295747973,0.30496526466505103,0.4870947239706199,0.672346130763991,1.0827360384990032,3.973003676088325,5.856378502559373
1.85900071895423,Mueller,Adaptation,Base,Hundred,0.2655849567301486,0.3048732908298665,0.48699099718267364,0.6722499733214692,1.082849786173804,3.974439844536202,5.858029126164945
1.85990334967331,Mueller,Adaptation,Base,Hundred,0.2654965326350797,0.3047902112722565,0.48689729828059447,0.6721631112679781,1.0829524809167346,3.9757400149123487,5.859527780645777
1.86171648692819,Mueller,Adaptation,Base,Hundred,0.26531896063488025,0.30462335825935266,0.48670910940813095,0.6719886517392802,1.0831585760006865,3.978359493934712,5.862559563667629
1.86463863192046,Mueller,Adaptation,Base,Hundred,0.2650329106070706,0.30435453651365085,0.48640588901606296,0.67170754699976,1.0834901942077373,3.9826030820458955,5.867505870693275
1.87386691238947,Mueller,Adaptation,Base,Hundred,0.2641306370513196,0.30350628998022305,0.48544890707470256,0.670820316138462,1.0845331242234435,3.9961820206615943,5.88361381099242
1.87388522875826,Mueller,Adaptation,Base,Hundred,0.2641288478527065,0.30350460743978114,0.4854470085600968,0.6708185559285428,1.084535187688985,3.996209240321307,5.883646518146209
1.87719851307179,Mueller,Adaptation,Base,Hundred,0.26380530315310396,0.30320031886442556,0.4851036418734026,0.6705001984669451,1.0849080251138823,4.001150530311484,5.88961094853742
1.87767205882343,Mueller,Adaptation,Base,Hundred,0.26375907843580715,0.3031568402078704,0.48505457639820004,0.6704547059349051,1.084961242934581,4.001859594437221,5.890471197597153
1.88465944444429,Mueller,Adaptation,Base,Hundred,0.26307751673320806,0.3025156208675206,0.4843308732003617,0.6697836807283586,1.0857444799847769,4.012404676836423,5.903391112001712
